user_id,monthly_income,monthly_outcome,class,active_loans_interval_0,sum_loans_interval_0,delinquencies_interval_0,delinq_sum_interval_0,active_loans_interval_1,sum_loans_interval_1,delinquencies_interval_1,delinq_sum_interval_1,active_loans_interval_2,sum_loans_interval_2,delinquencies_interval_2,delinq_sum_interval_2,active_loans_interval_3,sum_loans_interval_3,delinquencies_interval_3,delinq_sum_interval_3,active_loans_interval_4,sum_loans_interval_4,delinquencies_interval_4,delinq_sum_interval_4,active_loans_interval_5,sum_loans_interval_5,delinquencies_interval_5,delinq_sum_interval_5,active_loans_interval_6,sum_loans_interval_6,delinquencies_interval_6,delinq_sum_interval_6,active_loans_interval_7,sum_loans_interval_7,delinquencies_interval_7,delinq_sum_interval_7,tenure,longest_duration,preferred_institution,preferred_account_type,preferred_credit_type,preferred_payment_freq
0,255359,151439,1,21,1202237.0,0,0.0,21,1202237.0,0,0.0,21,1202237.0,0,0.0,22,1202237.0,0,0.0,22,1144278.0,5,532712.5,20,426753.0,0,0.0,4,0.0,2,2800.0,8,0.0,0,0.0,2490,1000.0,TIENDAS,Pagos Fijos,Línea de Crédito,Mensual
1,8940,789,0,8,638283.0,0,0.0,8,638283.0,0,0.0,8,638283.0,0,0.0,8,638283.0,0,0.0,8,638283.0,0,0.0,8,638283.0,0,0.0,8,638283.0,0,0.0,8,638283.0,3,15720483.75,5037,360.0,TIENDAS,Pagos Fijos,Préstamo Personal ,Semanal
2,11436,3316,0,4,20304.0,0,0.0,4,20304.0,0,0.0,4,20304.0,0,0.0,4,20304.0,0,0.0,6,20304.0,2,6566.0,0,0.0,0,0.0,1,0.0,0,0.0,2,0.0,0,0.0,1305,80.0,TIENDAS,Crédito Prendario,Préstamo Personal ,Semanal
3,17143,47547,1,2,29640.0,0,0.0,2,29640.0,0,0.0,2,29640.0,0,0.0,2,29640.0,0,0.0,2,29640.0,0,0.0,2,29640.0,0,0.0,2,29640.0,0,0.0,2,29640.0,0,0.0,2517,72.0,BANCO,Pagos Fijos,Préstamo de Nomina,Quincenal
4,26990,15585,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,6,0.0,0,0.0,2132,0.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
5,166,5240,0,5,234226.0,0,0.0,5,234226.0,0,0.0,5,234226.0,0,0.0,5,234226.0,0,0.0,5,234226.0,0,0.0,5,234226.0,0,0.0,5,234226.0,1,127472.25,10,234226.0,2,4996474.0,7003,360.0,TIENDAS,Pagos Fijos,Línea de Crédito,Mensual
6,111662,108374,1,11,211347.0,0,0.0,11,211347.0,0,0.0,11,211347.0,0,0.0,11,211347.0,0,0.0,12,211347.0,0,0.0,13,211347.0,0,0.0,13,211347.0,0,0.0,13,186686.0,0,0.0,5109,48.0,BANCO,Revolvente,Tarjeta de Crédito,Mensual
7,6271,44469,1,9,654058.0,0,0.0,9,654058.0,0,0.0,9,654058.0,0,0.0,9,654058.0,0,0.0,9,654058.0,0,0.0,9,654058.0,1,177240.0,10,654058.0,0,0.0,8,647754.0,0,0.0,4374,60.0,BANCO,Pagos Fijos,Línea de Crédito,Mensual
8,31695,3021,0,5,12325.0,0,0.0,5,12325.0,0,0.0,5,12325.0,0,0.0,5,12325.0,0,0.0,5,12325.0,1,2305671.0625,5,12325.0,2,1104363.8125,5,12325.0,0,0.0,5,12325.0,0,0.0,2500,12.0,TIENDAS,Pagos Fijos,Aparatos - Muebles,Mensual
9,2401260,6496313,0,6,51873.0,0,0.0,6,51873.0,0,0.0,6,51873.0,0,0.0,6,51873.0,0,0.0,6,51873.0,0,0.0,6,51873.0,0,0.0,6,51873.0,0,0.0,9,51873.0,4,4863760.3125,5271,65.0,TIENDAS,Pagos Fijos,Línea de Crédito,Mensual
